pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=32,sr<=40%,kvB<=1k,kp=0,0.4074,2
16,n<=32,sr<=40%,kvB<=4k,kp<=1k,0.2629,2
16,n<=32,sr<=40%,kvB<=4k,kp<=2k,0.2172,2
16,n<=32,sr<=40%,kvB<=4k,kp<=4k,0.0764,2
16,n<=32,sr<=40%,kvB<=4k,kp<=512,0.2635,2
16,n<=32,sr<=40%,kvB<=4k,kp<=8k,0.0703,2
16,n<=32,sr<=40%,kvB<=4k,kp=0,0.2655,2
16,n<=32,sr<=5%,kvB<=16k,kp<=1k,0.2702,2
16,n<=32,sr<=5%,kvB<=16k,kp<=2k,0.2595,2
16,n<=32,sr<=5%,kvB<=16k,kp<=4k,0.2462,2
16,n<=32,sr<=5%,kvB<=16k,kp<=512,0.2713,2
16,n<=32,sr<=5%,kvB<=16k,kp<=8k,0.1551,2
16,n<=32,sr<=5%,kvB<=16k,kp=0,0.2718,2
16,n<=32,sr<=5%,kvB<=1k,kp<=1k,-0.013,2
16,n<=32,sr<=5%,kvB<=1k,kp<=2k,-0.0096,2
16,n<=32,sr<=5%,kvB<=1k,kp<=4k,-0.0079,2
16,n<=32,sr<=5%,kvB<=1k,kp<=512,0.1993,2
16,n<=32,sr<=5%,kvB<=1k,kp<=8k,-0.0079,2
16,n<=32,sr<=5%,kvB<=1k,kp=0,0.2974,2
16,n<=32,sr<=5%,kvB<=4k,kp<=1k,0.2815,2
16,n<=32,sr<=5%,kvB<=4k,kp<=2k,0.189,2
16,n<=32,sr<=5%,kvB<=4k,kp<=4k,-0.0056,2
16,n<=32,sr<=5%,kvB<=4k,kp<=512,0.2914,2
16,n<=32,sr<=5%,kvB<=4k,kp<=8k,-0.0073,2
16,n<=32,sr<=5%,kvB<=4k,kp=0,0.2924,2
16,n<=32,sr<=70%,kvB<=16k,kp<=1k,0.6675,2
16,n<=32,sr<=70%,kvB<=16k,kp<=2k,0.664,2
16,n<=32,sr<=70%,kvB<=16k,kp<=4k,0.6154,2
16,n<=32,sr<=70%,kvB<=16k,kp<=512,0.6817,2
16,n<=32,sr<=70%,kvB<=16k,kp<=8k,0.5977,2
16,n<=32,sr<=70%,kvB<=16k,kp=0,0.6939,2
16,n<=32,sr<=70%,kvB<=1k,kp<=1k,0.0887,2
